date,site,plot,species,percentage.cover
6/10/2016,F33,C,PRVI,1
6/10/2016,F33,C,PRVI,20
6/10/2016,F33,C,PRAM,10
6/10/2016,F33,C,RIAM,10
6/10/2016,F33,C,RHTR,5
6/10/2016,F33,C,ACNE,5
6/10/2016,F33,S,PRVI,30
6/10/2016,F33,S,SYOC,5
6/10/2016,F33,S,ACNE,20
6/10/2016,F33,S,RHTR,5
6/10/2016,F33,S,PRVI,1
6/10/2016,F33,S,RIAM,10
6/10/2016,F33,S,TORA,1
6/10/2016,F33,S,PP,1
6/10/2016,F33,S,ROWO,5
6/10/2016,F33,W,PRVI,20
6/10/2016,F33,W,PRVI,5
6/10/2016,F33,W,SYOC,5
6/10/2016,F33,N,RHTR,10
6/10/2016,F33,N,TORA,1
6/10/2016,F33,N,PP,50
6/10/2016,F33,N,PRVI,10
6/10/2016,F33,E,TORA,5
6/10/2016,F33,E,RHTR,10
6/9/2016,F34,C,RHTR,5
6/9/2016,F34,C,ROWO,1
6/9/2016,F34,C,PRVI,1
6/9/2016,F34,C,TORA,1
6/9/2016,F34,N,PRVI,1
6/9/2016,F34,N,TORA,10
6/9/2016,F34,N,PP,1
6/9/2016,F34,N,RHTR,1
6/9/2016,F34,E,TORA,10
6/9/2016,F34,E,RHTR,5
6/9/2016,F34,S,RHTR,1
6/9/2016,F34,W,RHTR,5
 6/9/16,F35,C,PP,1
 6/9/16,F35,N,PP,1
 6/9/16,F35,N,TORA,1
 6/9/16,F35,W,PP,1
 6/9/16,F35,W,TORA,50
 6/9/16,F35,W,RIOD,1
 6/9/16,F35,W,PRVI,5
 6/9/16,F35,W,SYOC,5
 6/9/16,F35,W,ROWO,1
 6/9/16,F35,S,PP,1
 6/9/16,F35,S,RHTR,1
 6/9/16,F35,E,none,0
6/10/2016,F36,C,TORA,10
6/10/2016,F36,C,JUNI,1
6/10/2016,F36,N,none,0
6/10/2016,F36,E,TORA,1
6/10/2016,F36,E,PP,1
6/10/2016,F36,S,PP,1
6/10/2016,F36,W,PP,1
 6/9/16,F401,C,none,0
 6/9/16,F401,N,RHTR,10
 6/9/16,F401,N,SYOC,5
 6/9/16,F401,N,PP,1
 6/9/16,F401,N,MARE,1
 6/9/16,F401,W,RHTR,10
 6/9/16,F401,S,RHTR,10
 6/9/16,F401,E,RHTR,20
 6/8/16,F402,C,RHTR,5
 6/8/16,F402,C,PP,1
 6/8/16,F402,N,RHTR,1
 6/8/16,F402,W,RHTR,5
 6/8/16,F402,W,SYOC,5
 6/8/16,F402,W,ROWO,1
 6/8/16,F402,S,none,0
 6/8/16,F402,E,TORA,10
 6/8/16,F402,E,PP,1
 6/8/16,F402,E,RHTR,5
 6/9/16,F403,C,TORA,10
 6/9/16,F403,C,RIOD,1
 6/9/16,F403,C,RHTR,5
 6/9/16,F403,C,PP,1
 6/9/16,F403,W,TORA,30
 6/9/16,F403,W,PRVI,1
 6/9/16,F403,N,TORA,5
 6/9/16,F403,N,SYOC,1
 6/9/16,F403,N,RHTR,1
 6/9/16,F403,N,PRVI,1
 6/9/16,F403,E,TORA,10
 6/9/16,F403,E,RHTR,1
 6/9/16,F403,E,PP,1
 6/9/16,F403,S,TORA,40
 6/9/16,F403,S,PP,5
5/31/2016,FH106,C,none,0
5/31/2016,FH106,N,TORA,1
5/31/2016,FH106,N,RIAM,1
5/31/2016,FH106,W,RIAM,1
5/31/2016,FH106,W,GUSA,1
5/31/2016,FH106,S,SYOC,5
5/31/2016,FH106,S,RHTR,1
5/31/2016,FH106,E,TORA,1
 6/17/16,FH200,C,GUSA,5
 6/17/16,FH200,S,GUSA,5
 6/17/16,FH200,E,RHTR,15
 6/17/16,FH200,N,RHTR,30
 6/17/16,FH200,N,GUSA,40
 6/17/16,FH200,W,RHTR,15
 6/1/16,FH201,C,TORA,1
 6/1/16,FH201,S,none,0
 6/1/16,FH201,W,TORA,10
 6/1/16,FH201,N,ROWO,1
 6/1/16,FH201,N,SYOC,10
 6/1/16,FH201,E,none,0
6/15/2016,FH202,C,RHTR,5
6/15/2016,FH202,S,PP,1
6/15/2016,FH202,S,GUSA,1
6/15/2016,FH202,W,ROWO,5
6/15/2016,FH202,E,TORA,5
6/15/2016,FH202,E,RHTR,10
6/15/2016,FH202,E,ROWO,1
6/15/2016,FH202,N,ROWO,1
 5/26/16,FH37,C,TORA,30
 5/26/16,FH37,E,PRVI,40
 5/26/16,FH37,E,TORA,20
 5/26/16,FH37,E,RIOD,10
 5/26/16,FH37,E,JUNI,1
 5/26/16,FH37,N,RHTR,5
 5/26/16,FH37,N,TORA,10
 5/26/16,FH37,W,none,0
 5/26/16,FH37,S,none,0
6/15/2016,FH38,S,TORA,30
6/15/2016,FH38,S,PRVI,5
6/15/2016,FH38,S,RIAM,5
6/15/2016,FH38,E,RHTR,5
6/15/2016,FH38,E,GUSA,1
6/15/2016,FH38,N,RHTR,10
6/15/2016,FH38,N,GUSA,1
6/15/2016,FH38,W,SYOC,1
6/15/2016,FH38,C,GUSA,1
6/14/2016,FH39,C,GUSA,10
6/14/2016,FH39,C,RHTR,10
6/14/2016,FH39,C,U2,1
6/14/2016,FH39,N,RHTR,15
6/14/2016,FH39,N,TORA,1
6/14/2016,FH39,N,GUSA,1
6/14/2016,FH39,N,ROWO,1
6/14/2016,FH39,S,GUSA,5
6/14/2016,FH39,S,RHTR,10
6/14/2016,FH39,W,RHTR,1
6/14/2016,FH39,W,GUSA,1
6/14/2016,FH39,E,RHTR,5
6/14/2016,FH39,E,GUSA,15
6/14/2016,FH39,E,TORA,10
6/1/2016,FH40,C,SYOC,60
6/1/2016,FH40,C,TORA,20
6/1/2016,FH40,C,ROWO,5
6/1/2016,FH40,C,PP,1
6/1/2016,FH40,C,PRVI,1
6/1/2016,FH40,N,SYOC,30
6/1/2016,FH40,N,TORA,20
6/1/2016,FH40,N,GUSA,1
6/1/2016,FH40,W,SYOC,60
6/1/2016,FH40,W,ROWO,10
6/1/2016,FH40,W,TORA,10
6/1/2016,FH40,S,RIAM,10
6/1/2016,FH40,S,SYOC,70
6/1/2016,FH40,S,TORA,10
6/1/2016,FH40,E,GUSA,30
6/1/2016,FH40,E,TORA,1
6/14/2016,FH408,C,PRVI,50
6/14/2016,FH408,C,RIOD,1
6/14/2016,FH408,C,ROWO,5
6/14/2016,FH408,C,SYOC,5
6/14/2016,FH408,N,ROWO,1
6/14/2016,FH408,N,SYOC,20
6/14/2016,FH408,N,PRVI,5
6/14/2016,FH408,E,PRVI,20
6/14/2016,FH408,E,SYOC,40
6/14/2016,FH408,E,RIAM,20
6/14/2016,FH408,E,ROWO,5
6/14/2016,FH408,E,RIOD,1
6/14/2016,FH408,S,GUSA,1
6/14/2016,FH408,S,SYOC,30
6/14/2016,FH408,S,PRVI,15
6/14/2016,FH408,S,RHTR,1
6/14/2016,FH408,S,RIAM,1
6/14/2016,FH408,S,TORA,5
6/14/2016,FH408,W,PRVI,25
6/14/2016,FH408,W,SYOC,20
6/14/2016,FH408,W,ROWO,20
6/14/2016,FH408,W,TORA,5
6/14/2016,FH409,W,none,0
6/14/2016,FH409,C,SYOC,40
6/14/2016,FH409,C,TORA,30
6/14/2016,FH409,C,RHTR,1
6/14/2016,FH409,S,SYOC,20
6/14/2016,FH409,S,RHTR,1
6/14/2016,FH409,S,PRVI,1
6/14/2016,FH409,E,TORA,30
6/14/2016,FH409,E,SYOC,20
6/14/2016,FH409,E,ROWO,10
6/14/2016,FH409,E,PRVI,1
6/14/2016,FH409,N,RHTR,15
6/14/2016,FH409,N,TORA,5
 5/26/16,FH41,C,SYOC,20
 5/26/16,FH41,N,SYOC,1
 5/26/16,FH41,E,none,0
 5/26/16,FH41,S,none,0
 5/26/16,FH41,W,SYOC,5
 6/13/16,FH410,C,TORA,10
 6/13/16,FH410,C,PRVI,5
 6/13/16,FH410,C,ROWO,10
 6/13/16,FH410,C,RIAM,1
 6/13/16,FH410,W,ROWO,20
 6/13/16,FH410,E,TORA,1
 6/13/16,FH410,E,GUSA,5
 6/13/16,FH410,E,RHTR,1
 6/13/16,FH410,S,TORA,30
 6/13/16,FH410,S,PRVI,30
 6/13/16,FH410,S,RIOD,1
 6/13/16,FH410,S,RIAM,1
 6/13/16,FH410,S,ROWO,10
 6/13/16,FH410,S,RHTR,1
 6/13/16,FH410,N,TORA,20
 6/13/16,FH410,N,ROWO,20
 6/13/16,FH410,N,PRVI,10
 6/13/16,FH410,N,RIAM,20
6/14/2016,FH411,C,JUNI,1
6/14/2016,FH411,C,RHTR,10
6/14/2016,FH411,C,PRVI,5
6/14/2016,FH411,N,SYOC,1
6/14/2016,FH411,N,PRVI,1
6/14/2016,FH411,W,TORA,5
6/14/2016,FH411,S,RHTR,10
6/14/2016,FH411,S,ROWO,1
6/14/2016,FH411,E,RHTR,5
6/14/2016,FH411,E,TORA,10
6/14/2016,FH411,E,PRVI,5
6/14/2016,FH411,E,GUSA,1
6/15/2016,FH42,C,TORA,30
6/15/2016,FH42,C,RIAM,5
6/15/2016,FH42,C,ROWO,1
6/15/2016,FH42,N,GUSA,5
6/15/2016,FH42,N,RHTR,1
6/15/2016,FH42,N,TORA,1
6/15/2016,FH42,E,TORA,1
6/15/2016,FH42,E,GUSA,1
6/15/2016,FH42,E,RHTR,1
6/15/2016,FH42,W,SYOC,10
6/15/2016,FH42,S,none,0
5/26/2016,FL206,C,TORA,20
5/26/2016,FL206,C,GUSA,1
5/26/2016,FL206,C,PP,1
5/26/2016,FL206,N,none,0
5/26/2016,FL206,E,TORA,20
5/26/2016,FL206,S,TORA,40
5/26/2016,FL206,W,PRVI,5
5/26/2016,FL206,W,RHTR,1
 5/26/16,FL206,C,TORA,20
 5/26/16,FL206,C,GUSA,1
 5/26/16,FL206,C,PP,1
 5/26/16,FL206,N,none,0
 5/26/16,FL206,E,TORA,20
 5/26/16,FL206,S,TORA,40
 5/26/16,FL206,W,PRVI,5
 5/26/16,FL206,W,RHTR,1
6/15/2016,FL207,C,none,0
6/15/2016,FL207,E,RHTR,5
6/15/2016,FL207,N,RHTR,5
6/15/2016,FL207,N,SYOC,1
6/15/2016,FL207,S,RHTR,20
6/15/2016,FL207,S,RHTR,5
6/15/2016,FL207,W,none,0
 5/26/16,FL208,C,PP,5
 5/26/16,FL208,N,TORA,5
 5/26/16,FL208,N,PRVI,1
 5/26/16,FL208,N,RHTR,1
 5/26/16,FL208,W,PP,1
 5/26/16,FL208,S,none,0
 5/26/16,FL208,E,none,0
6/17/2016,FL209,C,none,0
6/17/2016,FL209,N,RHTR,15
6/17/2016,FL209,E,RHTR,1
6/17/2016,FL209,S,GUSA,5
6/17/2016,FL209,S,RHTR,5
6/17/2016,FL209,W,TORA,20
6/17/2016,FL209,W,RHTR,15
6/17/2016,FL209,W,GUSA,1
6/15/2016,FL210,C,ROWO,1
6/15/2016,FL210,N,none,0
6/15/2016,FL210,E,ROWO,5
6/15/2016,FL210,S,RHTR,30
6/15/2016,FL210,S,GUSA,1
6/15/2016,FL210,W,RHTR,30
6/15/2016,FL210,W,GUSA,5
 6/1/16,FL215,C,RHTR,5
 6/1/16,FL215,N,TORA,10
 6/1/16,FL215,W,RHTR,30
 6/1/16,FL215,S,none,0
 6/1/16,FL215,E,RHTR,5
6/14/2016,FL412,C,TORA,10
6/14/2016,FL412,C,ROWO,1
6/14/2016,FL412,C,PP,1
6/14/2016,FL412,C,ULAM,1
6/14/2016,FL412,C,GUSA,1
6/14/2016,FL412,C,RHTR,1
6/14/2016,FL412,W,RHTR,1
6/14/2016,FL412,N,TORA,5
6/14/2016,FL412,N,RHTR,30
6/14/2016,FL412,E,SYOC,20
6/14/2016,FL412,E,RIOD,1
6/14/2016,FL412,E,PRVI,1
6/14/2016,FL412,S,SYOC,20
6/14/2016,FL412,S,TORA,5
6/14/2016,FL412,S,RHTR,1
 6/16/16,FL417R,C,none,0
 6/16/16,FL417R,W,none,0
 6/16/16,FL417R,S,none,0
 6/16/16,FL417R,E,RHTR,1
 6/16/16,FL417R,E,GUSA,5
 6/16/16,FL417R,N,none,0
 6/17/16,FL422,C,TORA,1
 6/17/16,FL422,C,RHTR,1
 6/17/16,FL422,C,GUSA,1
 6/17/16,FL422,S,GUSA,10
 6/17/16,FL422,S,RHTR,1
 6/17/16,FL422,S,TORA,10
 6/17/16,FL422,E,RHTR,5
 6/17/16,FL422,N,TORA,20
 6/17/16,FL422,N,RHTR,1
 6/17/16,FL422,W,RHTR,20
 6/17/16,FL422,W,TORA,5
 6/17/16,FL422,W,GUSA,1
 6/17/16,FL423,C,RHTR,5
 6/17/16,FL423,C,GUSA,1
 6/17/16,FL423,E,GUSA,5
 6/17/16,FL423,E,RHTR,10
 6/17/16,FL423,S,GUSA,1
 6/17/16,FL423,S,RHTR,15
 6/17/16,FL423,S,PP,1
 6/17/16,FL423,W,RHTR,10
 6/17/16,FL423,W,GUSA,10
 6/17/16,FL423,N,RHTR,20
 6/14/16,FL43,C,RHTR,1
 6/14/16,FL43,E,RHTR,10
 6/14/16,FL43,N,TORA,30
 6/14/16,FL43,W,GUSA,1
 6/14/16,FL43,W,RHTR,10
 6/14/16,FL43,S,RHTR,20
6/14/2016,FL44,C,RHTR,5
6/14/2016,FL44,N,TORA,5
6/14/2016,FL44,S,TORA,40
6/14/2016,FL44,W,none,0
6/14/2016,FL44,E,GUSA,10
5/31/2016,FL45,C,GUSA,1
5/31/2016,FL45,C,TORA,1
5/31/2016,FL45,N,none,0
5/31/2016,FL45,W,RHTR,1
5/31/2016,FL45,S,GUSA,10
5/31/2016,FL45,E,GUSA,75
5/31/2016,FL45,C,none,0
5/31/2016,FL45,N,ROWO,1
5/31/2016,FL45,W,none,0
5/31/2016,FL45,S,none,0
5/31/2016,FL45,E,ROWO,1
6/13/2016,FL46,C,none,0
6/13/2016,FL46,N,none,0
6/13/2016,FL46,E,none,0
6/13/2016,FL46,W,TORA,10
6/13/2016,FL46,S,TORA,40
6/13/2016,FL46,S,PRVI,10
 5/26/16,FM110,C,ROWO,1
 5/26/16,FM110,C,GUSA,1
 5/26/16,FM110,N,SYOC,20
 5/26/16,FM110,N,ROWO,1
 5/26/16,FM110,N,TORA,1
 5/26/16,FM110,N,RHTR,1
 5/26/16,FM110,N,PRVI,1
 5/26/16,FM110,N,RIOX,1
 5/26/16,FM110,E,GUSA,5
 5/26/16,FM110,E,RHTR,1
 5/26/16,FM110,S,RHTR,1
 5/26/16,FM110,W,ROWO,20
 5/26/16,FM110,W,RIOX,10
 5/26/16,FM110,W,GUSA,1
 5/26/16,FM110,W,PP,1
 5/26/16,FM110,W,RHTR,1
6/16/2016,FM203,C,GUSA,5
6/16/2016,FM203,C,RHTR,10
6/16/2016,FM203,E,none,0
6/16/2016,FM203,N,none,0
6/16/2016,FM203,S,none,0
6/16/2016,FM203,W,RHTR,15
6/15/2016,FM204,C,RHTR,20
6/15/2016,FM204,C,GUSA,5
6/15/2016,FM204,C,ROWO,5
6/15/2016,FM204,N,RHTR,30
6/15/2016,FM204,W,TORA,30
6/15/2016,FM204,W,ROWO,15
6/15/2016,FM204,S,ROWO,15
6/15/2016,FM204,S,TORA,10
6/15/2016,FM204,S,RHTR,1
6/15/2016,FM204,S,GUSA,5
6/15/2016,FM204,E,RHTR,20
6/15/2016,FM204,E,TORA,1
6/17/2016,FM205,C,RHTR,30
6/17/2016,FM205,N,none,0
6/17/2016,FM205,W,none,0
6/17/2016,FM205,S,RHTR,5
6/17/2016,FM205,E,RHTR,20
 6/17/16,FM216,C,PP,1
 6/17/16,FM216,N,TORA,5
 6/17/16,FM216,N,PP,10
 6/17/16,FM216,E,PP,5
 6/17/16,FM216,W,PP,1
 6/17/16,FM216,S,none,0
 6/14/16,FM413,C,RHTR,1
 6/14/16,FM413,W,TORA,10
 6/14/16,FM413,W,PP,1
 6/14/16,FM413,W,SYOC,10
 6/14/16,FM413,W,RHTR,1
 6/14/16,FM413,N,TORA,1
 6/14/16,FM413,N,SYOC,1
 6/14/16,FM413,N,PP,10
 6/14/16,FM413,N,RHTR,5
 6/14/16,FM413,E,PP,1
 6/14/16,FM413,E,RHTR,1
 6/14/16,FM413,S,RHTR,1
 6/14/16,FM413,E,RIAM,5
6/17/2016,FM414,C,PRAM,5
6/17/2016,FM414,C,RHTR,5
6/17/2016,FM414,C,RIAM,10
6/17/2016,FM414,C,TORA,20
6/17/2016,FM414,C,SYOC,1
6/17/2016,FM414,N,TORA,20
6/17/2016,FM414,N,SYOC,5
6/17/2016,FM414,N,PRAM,50
6/17/2016,FM414,N,ROWO,1
6/17/2016,FM414,N,RIAM,1
6/17/2016,FM414,N,PRVI,20
6/17/2016,FM414,W,SYOC,20
6/17/2016,FM414,W,ROWO,5
6/17/2016,FM414,W,PRAM,5
6/17/2016,FM414,W,TORA,1
6/17/2016,FM414,E,PRVI,1
6/17/2016,FM414,E,RIAM,5
6/17/2016,FM414,E,PRAM,10
6/17/2016,FM414,E,TORA,20
6/17/2016,FM414,E,ROWO,5
6/17/2016,FM414,E,SYOC,1
6/17/2016,FM414,S,TORA,1
6/16/2016,FM419,C,none,0
6/16/2016,FM419,S,none,0
6/16/2016,FM419,W,SYOC,20
6/16/2016,FM419,W,JUCO,5
6/16/2016,FM419,N,none,0
6/16/2016,FM419,E,none,0
6/13/2016,FM61,C,ROWO,1
6/13/2016,FM61,N,none,0
6/13/2016,FM61,E,TORA,5
6/13/2016,FM61,S,none,0
6/13/2016,FM61,W,none,0
5/31/2016,FM62,C,RHTR,10
5/31/2016,FM62,C,GUSA,1
5/31/2016,FM62,N,RHTR,10
5/31/2016,FM62,E,RHTR,10
5/31/2016,FM62,S,RHTR,10
5/31/2016,FM62,S,GUSA,5
5/31/2016,FM62,W,none,0
6/15/2016,FM63,C,none,0
6/15/2016,FM63,N,SYOC,30
6/15/2016,FM63,N,TORA,30
6/15/2016,FM63,N,RHTR,5
6/15/2016,FM63,E,SYOC,10
6/15/2016,FM63,S,GUSA,1
6/15/2016,FM63,W,TORA,5
5/31/2016,FM64,N,RHTR,10
 5/31/16,FM64,C,RHTR,20
 5/31/16,FM64,C,GUSA,5
 5/31/16,FM64,N,RHTR,10
 5/31/16,FM64,W,TORA,20
 5/31/16,FM64,W,RHTR,10
 5/31/16,FM64,S,GUSA,2.5
 5/31/16,FM64,E,GUSA,5
 5/31/16,FM64,E,RHTR,1
5/31/2016,FM65,E,GUSA,1
6/15/2016,FM65,C,TORA,20
6/15/2016,FM65,N,none,0
6/15/2016,FM65,E,GUSA,5
6/15/2016,FM65,S,TORA,50
6/15/2016,FM65,W,RHTR,5
5/31/2016,FM66,E,RHTR,10
5/31/2016,FM66,C,RHTR,1
5/31/2016,FM66,N,RHTR,10
5/31/2016,FM66,N,ERIC,1
5/31/2016,FM66,W,RHTR,10
5/31/2016,FM66,S,RHTR,5
5/31/2016,FM66,E,RHTR,25
5/31/2016,FM66,S,RHTR,10
5/31/2016,FM66,S,GUSA,5
5/31/2016,FM66,W,none,0
 6/11/16,G108,C,ARFI,15
 6/11/16,G108,N,ARFI,1
 6/11/16,G108,E,ARFI,1
 6/11/16,G108,S,ARFI,40
 6/11/16,G108,W,ARFI,10
6/11/2016,G304,C,ARFI,15
6/11/2016,G304,N,none,0
6/11/2016,G304,W,RIAM,5
6/11/2016,G304,S,none,0
6/11/2016,G304,E,GUSA,1
6/11/2016,G305,C,GUSA,5
6/11/2016,G305,N,ARFI,1
6/11/2016,G305,W,ARFI,10
6/11/2016,G305,S,none,0
6/11/2016,G305,E,none,0
 6/10/16,G306,C,none,0
 6/10/16,G306,W,none,0
 6/10/16,G306,E,none,0
 6/10/16,G306,S,none,0
 6/10/16,G306,N,none,0
 6/8/16,G307,C,ARFI,10
 6/8/16,G307,S,ARFI,20
 6/8/16,G307,W,ARFI,5
 6/8/16,G307,N,none,0
 6/8/16,G307,E,none,0
6/11/2016,G404,C,none,0
6/11/2016,G404,N,none,0
6/11/2016,G404,S,none,0
6/11/2016,G404,W,none,0
6/11/2016,G404,E,none,0
6/8/2016,G405,N,none,0
6/8/2016,G405,S,none,0
6/8/2016,G405,E,none,0
6/8/2016,G405,W,none,0
6/8/2016,G405,C,none,0
 6/8/16,G406,N,none,0
 6/8/16,G406,W,none,0
 6/8/16,G406,S,none,0
 6/8/16,G406,E,none,0
 6/8/16,G406,C,none,0
 6/8/16,G424,C,none,0
 6/8/16,G424,N,none,0
 6/8/16,G424,E,none,0
 6/8/16,G424,S,none,0
 6/8/16,G424,W,none,0
6/9/2016,G50,N,none,0
6/9/2016,G50,S,none,0
6/9/2016,G50,E,none,0
6/9/2016,G50,W,none,0
6/9/2016,G50,C,none,0
6/10/2016,G51,N,none,0
6/10/2016,G51,S,none,0
6/10/2016,G51,E,none,0
6/10/2016,G51,W,none,0
6/10/2016,G51,C,none,0
 6/10/16,G52,C,none,0
 6/10/16,G52,N,none,0
 6/10/16,G52,W,none,0
 6/10/16,G52,E,ROWO,5
 6/10/16,G52,S,none,0
6/10/2016,G53,C,none,0
6/10/2016,G53,N,none,0
6/10/2016,G53,S,none,0
6/10/2016,G53,E,none,0
6/10/2016,G53,W,none,0
 6/11/16,G54,C,ARFI,1
 6/11/16,G54,N,ARFI,10
 6/11/16,G54,W,none,0
 6/11/16,G54,S,ARFI,10
 6/11/16,G54,E,ARFI,1
6/16/2016,GB109,C,none,0
6/16/2016,GB109,N,none,0
6/16/2016,GB109,S,none,0
6/16/2016,GB109,W,none,0
6/16/2016,GB109,E,none,0
 6/17/16,GB211,C,none,0
 6/17/16,GB211,N,none,0
 6/17/16,GB211,W,none,0
 6/17/16,GB211,E,none,0
 6/17/16,GB211,S,none,0
 6/17/16,GB212,C,none,0
 6/17/16,GB212,N,none,0
 6/17/16,GB212,E,none,0
 6/17/16,GB212,W,none,0
 6/17/16,GB212,S,none,0
 5/26/16,GB213,C,none,0
 5/26/16,GB213,N,none,0
 5/26/16,GB213,E,none,0
 5/26/16,GB213,S,none,0
 5/26/16,GB213,W,none,0
 6/1/16,GB214,C,none,0
 6/1/16,GB214,N,none,0
 6/1/16,GB214,W,none,0
 6/1/16,GB214,S,none,0
 6/1/16,GB214,E,none,0
 6/17/16,GB218,C,none,0
 6/17/16,GB218,N,none,0
 6/17/16,GB218,W,none,0
 6/17/16,GB218,E,none,0
 6/17/16,GB218,S,none,0
6/15/2016,GB415,C,none,0
6/15/2016,GB415,N,none,0
6/15/2016,GB415,W,none,0
6/15/2016,GB415,E,none,0
6/15/2016,GB415,S,none,0
6/14/2016,GB416,C,none,0
6/14/2016,GB416,N,none,0
6/14/2016,GB416,W,none,0
6/14/2016,GB416,E,none,0
6/14/2016,GB416,S,none,0
6/14/2016,GB420,N,none,0
6/14/2016,GB420,C,none,0
6/14/2016,GB420,S,none,0
6/14/2016,GB420,E,none,0
6/14/2016,GB420,W,none,0
 6/17/16,GB421,C,none,0
 6/17/16,GB421,N,none,0
 6/17/16,GB421,E,none,0
 6/17/16,GB421,S,none,0
 6/17/16,GB421,W,none,0
 6/1/16,GB55,N,RHTR,10
 6/1/16,GB55,W,none,0
 6/1/16,GB55,C,none,0
 6/1/16,GB55,S,none,0
 6/1/16,GB55,E,RHTR,20
 6/16/16,GB56,C,none,0
 6/16/16,GB56,N,none,0
 6/16/16,GB56,S,none,0
 6/16/16,GB56,W,none,0
 6/16/16,GB56,E,none,0
6/15/2016,GB57,C,ROWO,10
6/15/2016,GB57,C,SYOC,1
